text_chunk,sentiment
"had a nice, bright flavor. the chlorophyll was still present and strong. again, no substitute for fresh but better than using dried herbs when the recipe calls for fresh (it's great in sauces, by the way.) however, if a recipe calls for dried herbs you will need a lot more of this mix since fresh herbs are not as concentrated as dry.<br /><br />i have not used this company's other products but i plan on buying them sometime in the future and i will update this review then.",positive
"it's microwavable so basically it's ready-to-eat, and it's delicious. well, but dont take this one flavor for everyday. because that can make you feel sick. but sometimes when you are busy with your work, or even at school lunch, it's convinient. what i like about this product is it's packaging. the soup does not leak from it. plus, i think it's cheaper to buy online rather than offline.",positive
"i've never had finn crisp (any flavor) or other crispbreads before. pretty happy with the taste of traditional crackers (i can eat a lot of them without toppings). just starting to explore the crispbread space (after reading about it in a health magazine), hoping for a healthier snack, especially something lower in sodium. i tried ryvita (can't remember what flavor, but it is the sodium free one), and it tastes like cardboard. i couldn't find finn crisp at any of my local stores. so i ended up ordering it from amazon, for a pack of 9. i was brave enough to do that because of all the good reviews.<br /><br />as soon as the shipment arrived, i made everyone in my family try one. thumbs down from everyone, including myself. makes me wonder why the magazine people say this crispbread can go topless, and why pretty much everyone who wrote a review think this stuff tastes good. to me, it has a faint bitter taste; to some of my family, it is tasteless. i can eat it, but certainly not something i can say i like. so spending 40+ mg of sodium per slice on this is not worth it.<br",negative
"a review think this stuff tastes good. to me, it has a faint bitter taste; to some of my family, it is tasteless. i can eat it, but certainly not something i can say i like. so spending 40+ mg of sodium per slice on this is not worth it.<br /><br />well, i think i will go back to the cardboard taste ryvita. at least it is sodium free, and i can buy just 1 box from a local store, not a pack through mail order. personally, i prefer the cardboard taste to this faintly bitter taste.",negative
"used to eat the spicy thai flavor all the time. msg makes my body unhappy and this was one of the few flavored chips that was msg free. now they have changed the whole recipe and how they make them. instead of being real food on the ingredients like it used to be its mostly processed chemical garbage, a bunch more salt and msg stuffed in under the label ""yeast extract"". they removed the no msg from the label so they know very well what they did.<br /><br />the worst part though is that they taste horrible. instead of crisp, oily and full of character...say as if they were cooked in like...a kettle or something they instead have the color and uniformity of baked lays. the spicy thai flavor now tastes like sour cream and onion or ranch that has gone rancid.<br /><br />what a shame, no more kettle chips for me. it seems they are slowly moving one flavor at a time to this new cheap ingredient list and manufacturing method. dont be fooled into paying a premium price for these chips as they are not a premium product anymore.",negative
for me. it seems they are slowly moving one flavor at a time to this new cheap ingredient list and manufacturing method. dont be fooled into paying a premium price for these chips as they are not a premium product anymore.,negative
":: steviatabs stevia extract tablets, pack of four 100-count packages ::<br /><br />i am hooked on always taking my coffee with stevia. the form i most often use is the shaker jar, the blend with fos, from this same reliable company (wisdom naturals).<br /><br />but i also buy their product in tablets for the convenience. i take a packet with me for when i am away from home (travel, motels, etc).<br /><br />another good reason for choosing tablets that i learned from experience:<br /><br />i was trying to get a friend to switch to stevia for his coffee instead of the chemical whatever-it-was sweetener tabs that were his habit. he reported that the stevia was far too intenseley sweet. i was suprised, but then after further dialogue, learned that it was because when he used the shaker jar, he poured in too much. since then i found that setting a stevia-newbie up with tablets, and the simple instructions of 1-2 tabs per cup, it's what makes for the best approach.<br /><br />note! amzn's current price on these, less than $4 per pack, it is very good. i spent a lot of time last winter researching lowest possible price on this",positive
"stevia-newbie up with tablets, and the simple instructions of 1-2 tabs per cup, it's what makes for the best approach.<br /><br />note! amzn's current price on these, less than $4 per pack, it is very good. i spent a lot of time last winter researching lowest possible price on this product. i really believe amzn's price here cannot be beat -- particularly if you're calculating in the current promo of 20% off and free shipping.",positive
home roasting is a neat little adventure that my wife and i got into just a few months ago. we have tried a few different coffees now and the best so far is this peruvian high grown stuff. the quality is very good from the distributor and we are very happy having ordered from them a couple times. try it you will like it!,positive
"folks,now that i have your attention: buy these crackers and replace all the typical crap you have lying around your house. these are known as a ""heart healthy"" and are recommended by my cardiology group. (note: i am not a cardiologist but i slept at a holiday inn last nite!) these are low sugar,low fat, no trans fat,etc. as important, if you consume these instead of potato chips,cheese doodles,onion dip and salsa chips you will be replacing the bad cholesterol stuff with the good stuff and keeping your sugar intake low as well. a lot of eating is emotional and psychological based,not hunger based. do the above mentioned swap,give it six weeks and you will be proactively ahead of the curve. i put these in my music store as well,on the front counter. customers eat about half and my employees gobble the rest of them up.""wanna buy a banjo,here..have a handful of these while you think about it!""",positive
"senseo coffee pods are our favorite because of the coffee fullness and the fact that they are real coffee in paper filter pods vs plastic pods other single serve coffee makers use. we like the columbian and expresso for morning, but late in the day prefer decaf coffee and and the senseo decaf is as full flavored and pleasing as the caffeine coffee pods. a nice way to end the day.",positive
"waffle crisp has been my favorite cereal since i was 12 or so the first time i tasted it. now i'm 24 and i still totally live it. i can't find it sold anywhere in my area, which frustrates me, so i have purchased it here on amazon to be delivered to my house every three months, which is already not enough. it was my first purchase from amazon and i'm not a internet buyer, so if that tells you anything...",positive
"i have two indoor cats that have a very sedentary life.<br />one will eat everything you give her, literally everything, including green salad and doritos. the other one will only eat cat food.<br />i feed them tonight for the first time with royal canin light 40, i mixed other brand with royal canin. and guess what? they sorted the food and ate all the royal canin pieces first, leaving behind the other brand.<br />i'm so happy they liked it. but mostly i'm happy they are eating high protein food instead of fillers. it's expensive, yes, but i think it's worth it.<br />i do recommend this product.",positive
"back to nature golden honey oat grahams are the best graham crackers i have ever had. if you are used the ""regular"" grahams you will love these. i love everything about them including the packaging. things i love, no artificial preservatives, flavors or colors and no high fructose corn syrup (yay!), they are tasty, crisp and whole grain. these are good by themselves or with peanut butter or as s'mores. i highly recommend them for your whole family. just like the box says, simple ingredients, delicious and good.",positive
"while it doesn't always work for five hours, this energy drink works well for me. i've tried other energy drinks but they don't work as fast or last as long as 5 hour energy.<br /><br />it takes a while to get accustomed to the taste. i probably would not drink this for the flavor alone. grape seems to taste the best.",positive
"if you like dark, bold and strong coffee, you will not like marley coffee & tea one love organic coffee. the product is packaged in convenient one cup serving packets, but it's very weak and almost tasteless. it took at least two packets to make one half way decent cup of coffee. therefore, unless you like watery coffee, i would not recommend that you purchase this product.",negative
"we get these through the amazon subscribe and save program. they are an excellent natural snack. my son loves them, and amazon's subscribe and save program makes it so easy to keep them stocked in our pantry. happy baby does a great job of producing high quality organic baby food at a pretty reasonable price! they are a staple in our house.",positive
"this variety pack came to us as an amazon vine program sample. our two cats have been living on various ""high end"" dry cat foods for some time now (e.g., the ""before grain"" foods in chicken, tuna and salmon versions, and some fancy pantsy ""duck a l'orange"" stuff from our local pet shop). they have not been partial to canned foods, nor have i often gone the canned food route because it is less than convenient and didn't seem worth the candle since they seem to favor dry food (and mice and birds and whatever else they can glean from our little acre in the woods). they typically start out loving canned food, but after a few bites, the rest sits in the bowl and dries out before we toss it and go back to the dry food they've grown to love.<br /><br />however, both of our cats are smitten by this stuff. it looks like real food out of the can, with large chunks of fish and seafood in a thickened broth. it doesn't have the strong fishy smell of most canned foods and looks like something i could almost be tempted to eat my self in a pinch.",neutral
"by this stuff. it looks like real food out of the can, with large chunks of fish and seafood in a thickened broth. it doesn't have the strong fishy smell of most canned foods and looks like something i could almost be tempted to eat my self in a pinch. the 3 ounce size makes it perfect for a ""treat"" for the cats between feedings of dry food and they leave nothing behind when we dump a can in their dish (with some added hot water as they really love the broth).<br /><br />but i'm not sure i want my cats eating this stuff for the same reason i don't want my eight year old eating at fast food franchises, much as she might love the food and snarf it up in a flash -- i'm concerned this food may not be a healthy thing for the animal eating it or for the planet. seeing ""made in thailand"" emblazoned on the box made me immediately wonder whether this stuff might include ingredients banned in the us or could otherwise be manufactured without adequate regulation of methods and materials. the chinese pet food fiasco certainly came to mind.<br /><br />the discussions",neutral
"or for the planet. seeing ""made in thailand"" emblazoned on the box made me immediately wonder whether this stuff might include ingredients banned in the us or could otherwise be manufactured without adequate regulation of methods and materials. the chinese pet food fiasco certainly came to mind.<br /><br />the discussions of other reviewers about the menadione used in this product confirms my concern. i'm also left to wonder about the source of the fish and seafood in these cans -- is it farm raised in thailand and if so under what conditions; is it wild fish that may be subject to overfishing and at the very least ought to be feeding hungry humanity rather than going down my cats' gullets; what about mercury and other contaminants in the food?<br /><br />bottom line: my cats seem to love the stuff, but i'm not sure that will be sufficient to convince me to buy it again.",neutral
"this stuff tastes worse that the juice from the olive jar. oversalted, overpowering taste. to top it all off, i sliced my thumb open trying to pull the little string to get the foil off the top. it was wrapped poorly - the tab you're supposed to pull tore off. save your $12 (including shipping) and get something else!",negative
my dog absolutely loves this food. he is about 14 years old and has been picky in his later years. this stuff he eats and eats until he is full! i am so happy i took a chance on this dog food!!,positive
"being diabetic, i always carry one of these little delicious, no added sugar snacks in my purse, in case i need a pick-me-up to prevent low blood sugar. another thing in its favor is this snack is gluten-free. ordering from amazon is fast, and they always seem to have the food products that i need.",positive
we just switched our english bulldog from bulldog food to this food because she has a bad rash and we can't seem to get rid of it. the person that sold us the dog recommended it. i don't really think it was caused from her food but everyone tells me to switch her food so we are trying this out. the only thing i don't like too much about this food is that the pieces are quite small and harder for my dog to pick up so they get all over the floor. she seems to be eating it and we will have to wait and see what happens. everything i read about caring for an english bulldog seems to point to food for everything and this looks like it should be good for our dog.,positive
"this is great coffee but be warned, once you start drinking lavazza it's hard to go back to starbucks. we brew it as you would regular coffee and it is how we wake up at 5:30 every morning.",positive
"i love bar harbor's red clam sauce<a href=""http://www.amazon.com/gp/product/b000j2clme"">bar harbor all natural red clam sauce, 10.5-ounce cans (pack of 6)</a>. this however was just plain nasty. smelled terrible, but gave it a taste anyway. i taste likes iodine and clorox smells.",negative
"i had a craving for maccha flavor chocolate product.<br /><br />i found this product and was so exited to try it.<br />this was shipped from japan, and i received it a week after i ordered it.<br /><br />pros:<br />i had to say the first bite melted my heart! this is the one i was searching for!<br />it has a light green tea flavor, and not very sweet, the small packs<br />won't make me feel guilty about too much calories intake.<br /><br />cons:<br />it is shipped from japan, so shipping is slow compared to domestic shipping.",positive
these are the best tasting granola bars around! my daughter and i have celiac and this is one of the few bars without wheat or malt flavoring. great taste and only 150 calories. bonus: they are actually good for you! they have become a staple at our house.,positive
"my husband and i use the tea as a cold and hot drink, when lightly sweeten and used as a cold drink for family and friends, it is love at first taste.<br /><br />our 14 year old granddaughter loves the tea cold and drinks it with many of her meals and snacks.",positive
"this coffee is moderate in flavor (not to weak, not too strong) and i would recommend it to coffee drinkers who want a flavor in that range. it is ""coffee flavored coffee"", in other words, no fancy flavoring. being organic, it is (hopefully) sans all of the nasty chemicals that tend to get added. i want to note i used it unconventionally. i cut the packets open and ran it through a regular coffee maker. five packets for a 12 cup pot. came out just fine doing that. if you're looking for organic coffee, this one will do nicely.<br /><br />my only real issue is the packets do not have an easy open to get the little coffee bag out. i had to use scissors. that might make you mad if you're jonesing for that cup of coffee to wake up in the morning.",positive
"after having pup on taste of the wild and solid gold barking at the moon, did some research to find another premium grain-free food but at a lower price and found this. excellent stuff.<br /><br />my year and a half old chihuahua has been on it for a few months now and couldn't be doing any better. both he and our two cats (who are on purina but steal the epigen, which they seem to prefer, out of the dog's bowl) seem to love it. and pellet size is just right for them all, very small.<br /><br />just purchased a second bag and will continue purchasing this. very happy with the product and it's price!",positive
"corn nuts are delicious, enjoyable and addictive. however, i have twice broken teeth with them, including today. do not mindlessly chomp away at these snacks. i'm not being overly zealous with my suggestion that you only eat a few at a time and let them soften in your mouth before chewing too forcefully. this is the only food that has broken a tooth and it has twice!",neutral
"i've purchased the farmers organic canned pumpkin the last few years from our coop & paid up to $32.00 per case. i purchased the pumpkin from amazon for $12 per case, wow was this a great deal! we use the pumpkin to make the most wonderful pumpkin cupcakes with cream cheese icing & we also feed it to our boxers on a regular basis.<br /><br />i ordered 6 cases & they were delivered perfect, no dents at all. boy was i happy after reading all of the reviews of others that had a bad experience. the price has jumped to $16 per case since last friday so i will wait until the price goes back down again before i order more.<br /><br />i thought i would share my recipe since i mentioned it &lt;smile><br /><br />pumpkin cupcakes<br /><br />pumpkin cupcake recipe with optional cream cheese frosting.<br />ingredients:<br />2 1/4 cups all-purpose flour, or your favorite flour<br />1 tablespoon baking powder<br />1/2 teaspoon baking soda<br />1/2 teaspoon salt<br />3/4 teaspoon ground cinnamon<br />1/2 teaspoon ground ginger<br />1/2 teaspoon ground nutmeg<br />1/2 cup butter, softened<br />1 1/3 cups sugar<br />2 eggs, beaten until frothy<br />1 cup mashed cooked or canned pumpkin<br />3/4",positive
"all-purpose flour, or your favorite flour<br />1 tablespoon baking powder<br />1/2 teaspoon baking soda<br />1/2 teaspoon salt<br />3/4 teaspoon ground cinnamon<br />1/2 teaspoon ground ginger<br />1/2 teaspoon ground nutmeg<br />1/2 cup butter, softened<br />1 1/3 cups sugar<br />2 eggs, beaten until frothy<br />1 cup mashed cooked or canned pumpkin<br />3/4 cup milk<br />3/4 cup chopped walnuts or pecans<br />preparation:<br />sift together the flour, baking powder, baking soda, salt, ginger, cinnamon, and nutmeg into a bowl. cream butter and sugar until light and fluffy; beat in eggs. blend in mashed pumpkin. stir in the sifted dry ingredients alternately with the milk, blending until batter is smooth after each addition; stir in chopped walnuts or pecans. spoon batter into well-greased and floured or paper-lined muffin pan cups.<br /><br />fill about 2/3 full. bake at 375° for 25 minutes, or until a wooden pick or cake tester inserted in center comes out clean. frost with cream cheese frosting, whipped cream, or leave plain. makes about 24 cupcakes.<br /><br />cream cheese frosting<br />ingredients:<br />1/4 cup butter<br />1 package (8 ounces) cream cheese or neufchatel (lower in fat), room temperature<br />1 pound confectioners' sugar<br />2 teaspoons vanilla extract<br />preparation:<br />directions for cream cheese frosting<br />combine",positive
"frost with cream cheese frosting, whipped cream, or leave plain. makes about 24 cupcakes.<br /><br />cream cheese frosting<br />ingredients:<br />1/4 cup butter<br />1 package (8 ounces) cream cheese or neufchatel (lower in fat), room temperature<br />1 pound confectioners' sugar<br />2 teaspoons vanilla extract<br />preparation:<br />directions for cream cheese frosting<br />combine all ingredients in large mixing bowl; beat well until smooth. makes enough cream cheese frosting for a 2-layer cake.",positive
this is a lot of money. i can purchase this same thing from dunkin donuts store<br />for $11.99. i do not know who came up with this price but it is totally over priced.<br />the coffe is great!,positive
"the assortment and taste is very good, but they were order and delivered in the summer and they smell like they were in a fire. it doesn't affect the taste, but the smoke smell is very noticeable. maybe they shouldn't be sent in hot weather or should be packed differently.",neutral
"first time i tried stash chai spice black tea, i hated it. something about the smell did not appeal to me. it inspired me to go to the local indian grocer and purchase my own spices to make chai from scratch. that was very successful (with help from the internet and advice from an indian friend). i finally came back to try stash's chai again today and the first thing that hit me was the strong clove scent, which doesn't bother me as much after a few minutes. i think the chai tastes a bit better this time around than when i first tried it. kinda grows on you, i guess. however, it's not great chai by any means. it's okay for chai in a teabag. convenient. but i'll stick to making it from scratch when i finally finish this box (waste not).",neutral
"i was a bit skeptical as to how big the bags were, but was satiated in the end. finding halal gummies like this in the us is not an easy task. rest assured, they were zabiha halal.<br /><br />as to the product: the taste of this type of candy is initially sweet due to the granulated sugar after which you begin to taste the flat-cola type of flavor. if you're craving these as bad as i was, it's worth the buy.",positive
"when i first tried the cookie, i wasn't expecting it to be so crispy. i didn't like it until after a few bites. they definetly took care of my sweet tooth! i would recommend these to any one with food allergies",positive
"i like to provide variety for the cats, however, i like to stick with single protein sources. so in addition to <a href=""http://www.amazon.com/gp/product/b000wforh0"">wellness canned cat food for adult cats, chicken formula (pack of 12 12.5 ounce cans)</a>, i also get this one to add on with a higher protein diet.<br /><br />i have 3 cats, one is now 17 years old. i started using this shortly after the pet food recalls in 2007. the lack of grains, and real meat (not the processed kind you find in the grocery store), is what promotes the health of your pet carnivore.<br /><br />while there are some veggies, the smell will tell you the amount of meat in this product. i supplement with one serving from <a href=""http://www.amazon.com/gp/product/b0012pz7u0"">holistic select feline radiant adult and kitten health chicken meal recipe dry cat food, 3-pound bag</a>.<br /><br />the cats ages range currently from 7 to 17. the below feeding schedule is modified slightly (sometimes only two feedings a day, maybe half the amount of dry, etc.) if your cat has a sensitive tummy, it is best to feed more frequent, smaller meals each day.<br /><br />the 7 and 13 yo boys get about 1/4 cup dry",positive
"the below feeding schedule is modified slightly (sometimes only two feedings a day, maybe half the amount of dry, etc.) if your cat has a sensitive tummy, it is best to feed more frequent, smaller meals each day.<br /><br />the 7 and 13 yo boys get about 1/4 cup dry per day.<br />the 17 yo girl gets about 1/8 cup dry per day.<br /><br />i then split one can between all three twice a day. when the can is first opened, i add little hot water to the wet food. this guarantees a consistent texture between different batches, the remainder of the can is covered with a plastic lid, and placed in the refrigerator. i then later pull out (don't leave in fridge for more than 2 days), separate into three servings, and mix at least 1/8 cup hot water. then, nuke for 5 to 7 seconds (to warm up), and walla, a gravy mix meal for kitties.<br /><br />i can verify 100% that their health improved greatly after switching from the cheap, grocery store dry. its the only reason baby girl is still alive. if you can't afford heavy vet bills, put your pets on this and some money",positive
"and walla, a gravy mix meal for kitties.<br /><br />i can verify 100% that their health improved greatly after switching from the cheap, grocery store dry. its the only reason baby girl is still alive. if you can't afford heavy vet bills, put your pets on this and some money into savings, in lieu of the overpriced pet insurance.<br /><br />with the free shipping, it is still a deal.",positive
"these are the best potato chips i've ever tasted. it's easy to go through half of a bag without stopping. the texture/crunchiness is just perfect, as is the salt and vinegar combination. i don't know how they taste so much better than all of the other chips i've ever had, but they do. and, judging from the nutrition facts, they seem to be healthier, too. they're somewhat fibrous and have a good bit of potassium and vitamin c, which could be because they don't skin the potatoes and the chips are a bit thicker than normal.<br /><br />and if you like these, all of the kettle chips are great.",positive
"these are 12.99 plus tax at petco. they work wonderfully for giving dogs pills. i like to break them in half, then mold it around a large capsule for my pug. they work better than cheese, banana, wet food or other treats.",positive
"we use this product on a daily basis in all our recipes. it works very well<br />as replacement for regular table salt, it's great in tomato sauces and great<br />on salads. we love it.",positive
"i recently tried the five pack wabash ""real theater popcorn."" when cooking, there is a very off smelling aroma emanating from my popper.<br />so? i tried paragon popcorn oil in place of the wabash product and had no more ""smelly"" issues. neither product offers much in the way of actual product content. hydrogenated or non-hydrogenated coco oil? the latter better than the former....both not so good, anyway.<br />if you pop corn once in a while with paragon + flavacol, you will not go wrong. i wouldn't consume this combo very often, like maybe once or twice a month?.......by the same token, just like eating fat laden prime rib, potato chips, hotdogs, all the good stuff, is bad for your cholesterol lol.<br />sadly all the snacks and fast foods we enjoy.....sucks.<br />c'est la vie.",negative
"and that is the problem. i order these by the case of 12 - and when they are good, which is over half the time they are the best kettle chip, the best! and then i get a case of the worse - the potatos are mealy and old so i just throw them out and order again, expensive but when they are made with good fresh potatos they are the best - the last case is what prompted me to write this - the potatos were weird - like they were almost sour as in going bad - and i even wrote the company that makes them - so if you want the best kettle chip there is try these and if the ones you get are not the best try again!<br />i, myself am done ordering because it is creeping me out that they are using soured potatos and either not noticing or not caring.",negative
"so far, i have thoroughly enjoyed all of the teas in the ""zinger"" series. i like celestial seasonings in general. of course, the tea bags have no strings and that is something of an annoyance, but other than that, the teas are tasty and enjoyable. zinger really is a great description of the product. it has a surprising and deeply flavorful taste and an aroma to match. it is a great option for those who enjoy herbal teas.",positive
"this markers are great, they smoothly write in fondant, gum paste and even chocolate! they arrived on time and the only reason why they did not get the 5 stars is because they need to be cleaned often while working with chocolate, the tip scrapes the chocolate a bit when you write and if left without cleaning, it won't write.<br />these are great for details on cake pops, they work wonderfully on candy melts.",positive
"oh, this is some good cat food!<br />have you ever opened a can of friskies and gagged at the awful smell? how can your cat eat that?<br />this cat food smells pretty good, and it simply looks and smells like good food. my kittens made so much noise when i opened that can! they gobbled it right up, and i have to admit that it smelled pretty good.",positive
popchip 100 calorie bags are a great snack that help me to control my portions. i don't trust myself with the full sized bag! these taste great and have a decent amount in the bags- there enough to satisfy me. they are not bland tasting like some baked chips. i regularly order these and the bbq flavor. i have tried many other popchip flavors (in the big bags) and these are my personal favorites! i don't know how them make them taste so great for so little calories- but thanks popchips!,positive
"when agave first came on the scene i thought it sounded great. but after a lot more research i don't think it's the wonder sweetener that many people think it is. it is very high in (processed) fructose, not the same as fructose found in natural fruit. fructose is metabolized directly by the liver, which is different from other sugars, and can lead to fatty liver deposits. high fructose intake has also been linked to weight gain, insulin resistance, and heart disease risk in animal studies.<br /><br />also, at the amazon price this is extremely expensive. my favorite is a 2 oz. bottle of nunaturals no alcohol liquid stevia--it mixes instantly in beverages, is not bitter, and lasts forever.",neutral
"these marvelous cookies remind me of ones that my mother used to make. i could never duplicate them, even with her recipe and directions. she called them ""moravian"" cookies. i hope they will continue to be available. the only problem was that some were broken when they arrived.",positive
"it may do everything the company claims this product will do, but i just couldn't get past the flavor. with ""a few drops"", it tastes like watered down kool-aid. if you go ahead and put in more to give it more flavor, it just tastes like really strong kool-aid - cherry flavor, that is. if you like kool-aid, maybe this product is right for you. if you are like me and gave up kool-aid many years ago, you probably won't like this either.",negative
"my first bigelow tea was plantation mint. i absolutely love it and it was the tea that got the rest of my family drinking less soda and more tea. green tea has many benefits, everybody pretty much knows this, but i always found them to be too bland, or grassy, or overflavored with other things - until i tried bigelow's green tea with lemon. it is perfect. fresh, crisp, quenching. i prefer tea iced with a little splenda added, and this one and plantation mint are so delicious. i'm a convert. i can't imagine ever drinking another brand, and i've tried several.",positive
"my mom's friend gave this to me after i tried hers and loved it. i absolutely love this coffee! the flavor and roast are incredible! i just can't say enough about how much i like it... i just hope i can get it year-round! it is on the pricier side, but i like to save mine for a treat, and not for every day, just to make it last longer. i love it with the coffee mate sugar free hazelnut creamer.",positive
"this is my new favorite herbal tea. it has awesome flavor. by adding a couple drops of stevia sweetener, this makes a great ""treat"" to sooth my sweet-tooth without negatively impacting a diet.",positive
"although this product arrived quickly and well-packaged, it was not the best tasting marzipan that i have ever had. to be fair, however, it was not the worst i've had either. my main complaint is that there was little almond flavor to the pieces, which is, of course, the reason you buy marzipan! but if you want marzipan at a very reasonable price and are not too picky about the taste, this product will suffice.",neutral
"i have small dogs (8 and 10 lbs), so these are perfect! i use these in conjunction with the small biodegradable bin liners that i keep in a small garbage can in the back yard so all of this ""organic matter"" can decompose properly. i really hate the idea of wrapping up dog poop in plastic that will decompose long after i do!",positive
this has little flavor but great crunch so you mix with other cereals to give a big nutritional/fiber boost. we have 2 gluten-free family members and this is a great way to get fiber.,positive
"i got this and wanted to try it out and the price was right! wow - the taste is sub-par and does taste like something you would find at a gas station dispenser!<br /><br />when i was reading the nutrition facts i noticed that it had 80 calories per serving (not a big deal), i then scanned down and saw that it has 23% of your daily saturated fat!! wow! when i read through the ingredient list the first ones are: partially hydrogenated vegetable oil, sugar, corn syrup solids, and then instant coffee and some others. i'm not health nut both those things don't sound that healthy to me and i can see where the saturated fat is coming from!",negative
"since republic of tea discontinued their bing cherry vanilla tea, i was looking for a replacement. the flavor of this tea is very different from republics - it's better. the smell is very rich, like toasted vanilla and cherry. it almost has a coffee smell, but not quite. i don't like coffee, but this tea is incredible. glad i found it. best of all, the price!",positive
"i originally bought a couple of these from babies-r-us for my 16month old daughter to have as a snack when we went to sea world. i figured it was healthy and something she can hold onto and feed herself, since ya know at this age they are getting oh so independent and want to do everything for themselves!! she loves them! we now buy them by the case from amazon because buying them individually from babies-r-us is just a little expensive, and here you get a pack of 12 for $17! being a first time mom i have tried and failed with a lot of things for her snacks so now i actually taste everything that i give her and hey even i would eat these as a snack!!",positive
"this candy was shipped from diabetic friendly and was advertised as sugar free. i bought this for my diabetic uncle as a present, and it ended up having tons of sugar. ridiculous.",negative
"this drink is refreshing, but a little too sweet for me. i found that others in my household enjoyed it more than i did, so it might be more fair to give it a four star.",neutral
"i pondered buying this product for days because of mixed reviews, many concerning the size of the ginger. i feel for those people who got scraps, but in my 24-pack i received pretty uniform cubes of a very good size. this is, hands down, the best crystallized ginger i've ever had except for once... and that was home-made in hong kong.<br /><br />first, the chunks are just the right size to be tender and sweet without being too large to enjoy as a snack. the quality of the ginger is outstanding, with a deep, fresh flavor and just the right amount of sugar. the color is a light gold, and the texture lacks the fibrous strands of mature ginger that too much crystallized ginger is made from. so, they say baby ginger, and i can attest, it must be. because of that, the flavor is strong without being an overpowering heat, but the heat is there. i'd place it on the mild end of the ginger spectrum, which works for me, but if you want fire this isn't for you. this is one of two crystallized gingers i'd recommend, and the other is the fiery one (reed's), but this has",positive
"heat, but the heat is there. i'd place it on the mild end of the ginger spectrum, which works for me, but if you want fire this isn't for you. this is one of two crystallized gingers i'd recommend, and the other is the fiery one (reed's), but this has the better overall flavor of ginger.<br /><br />this is definitely ginger for snacking; if you want to bake with this you could, but you'd definitely need to get busy with the knife-work. if you're looking for dried ginger, this isn't that either... this is fresh, tender, and sweet-heat ginger. for tea... i could see mashing a cube or two and making something pretty terrific, but i'd probably end up eating it straight. i'm gong to buy some of the baking cut (small nuggets) for ginger snaps now, because if they're using the same ginger it's going to be amazing.<br /><br />bottom line: while it's possible that some people received a bad package with small pieces, in 24 packs i saw minimal variation in size, and nothing i'd describe as too large or small. this is fresh as hell, not too sugared, and the quality of the ginger is out of",positive
"/>bottom line: while it's possible that some people received a bad package with small pieces, in 24 packs i saw minimal variation in size, and nothing i'd describe as too large or small. this is fresh as hell, not too sugared, and the quality of the ginger is out of this world. if you like ginger, i'd find it hard to imagine not falling in love with this.",positive
"the flavor of these nuts is similar to cinnamon toast cereal, yet they are filling and healthy, containing little sugar and almost no salt. i would deduct a star for being priced too high both here and in the supermarket, but blue diamond deserves credit for their restraint in using quality ingredients and in not producing a sugar encrusted candy. now if they would only go against the trend of charging a huge markup for minimal extra processing cost...<br /><br />the other reviewer seems to think these contain lactose. the ingredients:<br />almonds, evaporated cane juice, brown sugar, corn maltodextrin, cinnamon, natural flavors and salt. peanut free. may contain other tree nuts. unless other tree nuts comes from cows, i don't think this is true.",positive
"you know, it's been a while since i've had a nutritional shake or protein drink. when i took a fitness course in college i tried a whole bunch of different kinds... which all tasted like chalk to me. i would hold my breath and try not to gag or throw up. so because of that awful experience, i vowed to never again drink nutritional shakes. then amazon came along and offered a free sample to review. i still was reluctant but decided to face my fear. plus, i really need to get back into shape again :) the fact that it was called a ""shake"" and not a ""protein drink"" made me more hopeful. so, when i finally took my first swig of it today i was pleasantly surprised. yeah, it actually tastes good... not to be confused with ""bearable"". it actually tastes like a nice strawberry smoothy.<br /><br />now, i don't know exactly how good it is for you... since it tastes so good. so i can't comment on it's actual ""nutritional value"". oh, by the way, i drank the strawberry flavored one. so i don't know how good the other flavors are yet. one last thing to keep",positive
"i don't know exactly how good it is for you... since it tastes so good. so i can't comment on it's actual ""nutritional value"". oh, by the way, i drank the strawberry flavored one. so i don't know how good the other flavors are yet. one last thing to keep in mind is that it does contain milk protein.. so if you're lactose intolerant, you may want to drink something else. it also means you have to refrigerate it after opening. i hope this review was helpful... bottoms up! :)",positive
"the crunch, the savorriness , the lovely no time this month expiration dte. i love these chips, theyre the only chips i eat without feeling like i over ate. the package came on time and with all that i payed for.",positive
"this is celestial seasonings at their best-a plump bag of fresh tasty peppermint leaf, which brews up to a clean delicious cup of tea! peppermint is one of the most enjoyable herbal teas with a naturally sweet, clean taste.<br /><br />peppermint is an herb that has many uses in traditional herbal medicine. it is reputed to relax the muscles of the digestive system which helps relieve nausea. peppermint combats flatulence, promotes bile flow and digestive juices, and has a mildly anesthetic effect which also eases indigestion. it is supposed to relieve anxiety and tension, soothe headaches and calm symptoms associated with the menstrual cycle.<br /><br />celestial seasonings gets extra points for their packaging: they utilize 100% natural recycled paperboard in their boxes and they don't package each tea bag individually. instead they use a system of a waxed paper bag inside the box that stays shut when you fold it. it keeps the bags fresh and utilizes less packaging than individually wrapping each bag. the art they use on each box is beautiful as are the quotes and information they put on every surface.",positive
it keeps the bags fresh and utilizes less packaging than individually wrapping each bag. the art they use on each box is beautiful as are the quotes and information they put on every surface.,positive
